Warlords II 68k CODE Resources
Extracted from CD version (April 1996)
Total segments: 167
Total code: 842,194 bytes

CODE   0:       24 bytes  (jump table) 
CODE   1:    11628 bytes  (near=0, entries=1) MA Derived Classes
CODE   2:     1524 bytes  (near=30544, entries=4) Game code
CODE   3:      258 bytes  (near=30512, entries=4) New code for Deluxe
CODE   5:    10436 bytes  (near=30376, entries=17) STDCLIB
CODE   6:     1180 bytes  (near=30144, entries=29) SANELIB
CODE   7:    20251 bytes  (near=29656, entries=61) inline
CODE   8:     9035 bytes  (near=29192, entries=58) Main
CODE  10:     5460 bytes  (near=28400, entries=99) GConstructorRes
CODE  11:      918 bytes  (near=28360, entries=5) a1PreferenceRes
CODE  12:      360 bytes  (near=28344, entries=2) main
CODE  13:     4462 bytes  (near=28312, entries=4) a1Init
CODE  14:    15882 bytes  (near=27952, entries=45) a1ImportantRes
CODE  15:    28570 bytes  (near=27296, entries=82) a1DlgRes
CODE  16:     9230 bytes  (near=25064, entries=279) DefineClassRes
CODE  17:     1952 bytes  (near=24856, entries=26) a1NotNeeded
CODE  18:     1921 bytes  (near=24752, entries=13) a1DlgOpen
CODE  19:       76 bytes  (near=24736, entries=2) a1DlgClose
CODE  20:    45513 bytes  (near=24680, entries=7) a1Random
CODE  21:      667 bytes  (near=24616, entries=8) a1DlgNonRes
CODE  22:      228 bytes  (near=24592, entries=3) a1DlgReadResource
CODE  23:     7975 bytes  (near=24256, entries=42) a1MapCommands
CODE  24:     3189 bytes  (near=24184, entries=9) a1Shortcut
CODE  25:     1546 bytes  (near=24168, entries=2) a2About
CODE  26:     1551 bytes  (near=24112, entries=7) a1NewDocument
CODE  27:      450 bytes  (near=24096, entries=2) a1Terminate
CODE  28:      642 bytes  (near=24088, entries=1) a1Settings
CODE  29:    13008 bytes  (near=23984, entries=13) a1Read
CODE  30:       51 bytes  (near=23976, entries=1) a1Finder
CODE  31:     1621 bytes  (near=23936, entries=5) a1CloseDocument
CODE  32:     2362 bytes  (near=23904, entries=4) a2Settings
CODE  33:     8034 bytes  (near=23376, entries=66) GSelCommand
CODE  34:    14722 bytes  (near=22368, entries=126) GRes2
CODE  35:     8011 bytes  (near=21352, entries=127) GNonRes2
CODE  36:     7846 bytes  (near=21216, entries=17) a1Help
CODE  37:      401 bytes  (near=21200, entries=2) a1ViewRes
CODE  38:     5336 bytes  (near=20944, entries=32) GNonRes4
CODE  39:     4671 bytes  (near=20520, entries=53) GClose
