arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
68k,CODE_029,thunk_FUN_00000122,0x00000110,2,False,0,False,2,void thunk_FUN_00000122(void)
68k,CODE_144,thunk_FUN_00002644,0x00002608,2,False,0,False,2,void thunk_FUN_00002644(void)
68k,CODE_149,thunk_FUN_00002060,0x00002040,2,False,0,False,2,void thunk_FUN_00002060(void)
68k,CODE_041,thunk_FUN_00000e12,0x00000dd8,2,False,1,False,7,void thunk_FUN_00000e12(void)
68k,CODE_041,FUN_000025d0,0x000025d0,2,False,1,False,7,void FUN_000025d0(void)
68k,CODE_041,FUN_00003918,0x00003918,2,False,1,False,7,void FUN_00003918(void)
68k,CODE_045,FUN_000032f8,0x000032f8,2,False,1,False,7,void FUN_000032f8(void)
68k,CODE_051,FUN_00000dc0,0x00000dc0,2,False,1,False,7,void FUN_00000dc0(void)
68k,CODE_059,FUN_00000e00,0x00000e00,2,False,1,False,7,void FUN_00000e00(void)
68k,CODE_069,FUN_00002590,0x00002590,2,False,1,False,7,void FUN_00002590(void)
68k,CODE_150,FUN_00001c10,0x00001c10,2,False,1,False,7,void FUN_00001c10(void)
68k,CODE_014,caseD_1,0x00002986,8,False,0,False,8,void switchD_000026da::caseD_1(void)
68k,CODE_015,FUN_00005760,0x00005760,4,False,1,False,9,void FUN_00005760(void)
68k,CODE_034,FUN_00001d80,0x00001d80,4,False,1,False,9,void FUN_00001d80(void)
68k,CODE_034,FUN_00001ef8,0x00001ef8,4,False,1,False,9,void FUN_00001ef8(void)
68k,CODE_035,FUN_00000bf0,0x00000bf0,4,False,1,False,9,void FUN_00000bf0(void)
68k,CODE_041,FUN_00003940,0x00003940,4,False,1,False,9,void FUN_00003940(void)
68k,CODE_044,FUN_00002818,0x00002818,4,False,1,False,9,void FUN_00002818(void)
68k,CODE_049,FUN_00000118,0x00000118,4,False,1,False,9,void FUN_00000118(void)
68k,CODE_050,FUN_00000e10,0x00000e10,4,False,1,False,9,void FUN_00000e10(void)
68k,CODE_050,FUN_00001b30,0x00001b30,4,False,1,False,9,void FUN_00001b30(void)
68k,CODE_054,FUN_00001e98,0x00001e98,4,False,1,False,9,void FUN_00001e98(void)
