arch,segment,name,offset_hex,size_bytes,has_warnings,unique_calls,has_globals,score,preview
PPC,PPC_0001,FUN_100099cc,0x100099cc,4,False,1,False,9,void FUN_100099cc(void)
PPC,PPC_0001,FUN_10025f94,0x10025f94,4,False,1,False,9,void FUN_10025f94(void)
PPC,PPC_0001,FUN_10026568,0x10026568,4,False,1,False,9,void FUN_10026568(void)
PPC,PPC_0001,FUN_10026df0,0x10026df0,4,False,1,False,9,void FUN_10026df0(void)
PPC,PPC_0002,FUN_1003a5f8,0x1003a5f8,4,False,1,False,9,void FUN_1003a5f8(void)
PPC,PPC_0002,FUN_10049624,0x10049624,4,False,1,False,9,void FUN_10049624(void)
PPC,PPC_0002,FUN_10051d60,0x10051d60,4,False,1,False,9,void FUN_10051d60(void)
PPC,PPC_0002,FUN_10059d2c,0x10059d2c,4,False,1,False,9,void FUN_10059d2c(void)
PPC,PPC_0003,FUN_10078a2c,0x10078a2c,4,False,1,False,9,void FUN_10078a2c(void)
PPC,PPC_0003,FUN_10091334,0x10091334,4,False,1,False,9,void FUN_10091334(void)
PPC,PPC_0004,FUN_100b0384,0x100b0384,4,False,1,False,9,void FUN_100b0384(void)
PPC,PPC_0004,FUN_100b0574,0x100b0574,4,False,1,False,9,void FUN_100b0574(void)
PPC,PPC_0004,FUN_100b0578,0x100b0578,4,False,1,False,9,void FUN_100b0578(void)
PPC,PPC_0004,FUN_100b1c84,0x100b1c84,4,False,1,False,9,void FUN_100b1c84(void)
PPC,PPC_0004,FUN_100b2264,0x100b2264,4,False,1,False,9,void FUN_100b2264(void)
PPC,PPC_0004,FUN_100b2268,0x100b2268,4,False,1,False,9,void FUN_100b2268(void)
PPC,PPC_0006,FUN_100d6b74,0x100d6b74,4,False,1,False,9,void FUN_100d6b74(void)
PPC,PPC_0006,FUN_100d6e64,0x100d6e64,4,False,1,False,9,void FUN_100d6e64(void)
PPC,PPC_0006,FUN_100d95c4,0x100d95c4,4,False,1,False,9,void FUN_100d95c4(void)
PPC,PPC_0006,FUN_100dac54,0x100dac54,4,False,1,False,9,void FUN_100dac54(void)
PPC,PPC_0007,FUN_100eb918,0x100eb918,4,False,1,False,9,void FUN_100eb918(void)
PPC,PPC_0007,FUN_100ee648,0x100ee648,4,False,1,False,9,void FUN_100ee648(void)
PPC,PPC_0008,FUN_100f5100,0x100f5100,4,False,1,False,9,void FUN_100f5100(void)
PPC,PPC_0008,FUN_100f5104,0x100f5104,4,False,1,False,9,void FUN_100f5104(void)
PPC,PPC_0008,FUN_100f5274,0x100f5274,4,False,1,False,9,void FUN_100f5274(void)
PPC,PPC_0008,FUN_100f535c,0x100f535c,4,False,1,False,9,void FUN_100f535c(void)
PPC,PPC_0008,FUN_10105d28,0x10105d28,4,False,1,False,9,void FUN_10105d28(void)
PPC,PPC_0008,FUN_101088b0,0x101088b0,4,False,1,False,9,void FUN_101088b0(void)
PPC,PPC_0002,FUN_1006632c,0x1006632c,8,False,1,False,13,undefined4 FUN_1006632c(void)
PPC,PPC_0002,FUN_1006639c,0x1006639c,8,False,1,False,13,undefined4 FUN_1006639c(void)
PPC,PPC_0002,FUN_1006640c,0x1006640c,8,False,1,False,13,undefined4 FUN_1006640c(void)
PPC,PPC_0002,FUN_100664ec,0x100664ec,8,False,1,False,13,undefined4 FUN_100664ec(void)
PPC,PPC_0002,FUN_10066700,0x10066700,8,False,1,False,13,undefined4 FUN_10066700(void)
PPC,PPC_0002,FUN_100667c4,0x100667c4,8,False,1,False,13,undefined4 FUN_100667c4(void)
PPC,PPC_0002,FUN_100667cc,0x100667cc,8,False,1,False,13,undefined4 FUN_100667cc(void)
PPC,PPC_0002,FUN_100667dc,0x100667dc,8,False,1,False,13,undefined4 FUN_100667dc(void)
PPC,PPC_0002,FUN_100667ec,0x100667ec,8,False,1,False,13,undefined4 FUN_100667ec(void)
PPC,PPC_0003,FUN_10079538,0x10079538,8,False,1,False,13,undefined4 FUN_10079538(void)
PPC,PPC_0003,FUN_1007a548,0x1007a548,8,False,1,False,13,undefined4 FUN_1007a548(void)
PPC,PPC_0003,FUN_100809b8,0x100809b8,8,False,1,False,13,undefined4 FUN_100809b8(void)
PPC,PPC_0003,FUN_10081e38,0x10081e38,8,False,1,False,13,undefined4 FUN_10081e38(void)
PPC,PPC_0003,FUN_10083d40,0x10083d40,8,False,1,False,13,undefined4 FUN_10083d40(void)
PPC,PPC_0003,FUN_10084ee0,0x10084ee0,8,False,1,False,13,undefined4 FUN_10084ee0(void)
PPC,PPC_0003,FUN_100852b8,0x100852b8,8,False,1,False,13,undefined4 FUN_100852b8(void)
PPC,PPC_0003,FUN_10086314,0x10086314,8,False,1,False,13,undefined4 FUN_10086314(void)
PPC,PPC_0003,FUN_100863d8,0x100863d8,8,False,1,False,13,undefined4 FUN_100863d8(void)
PPC,PPC_0003,FUN_10088560,0x10088560,8,False,1,False,13,undefined4 FUN_10088560(void)
PPC,PPC_0003,FUN_1008ad64,0x1008ad64,8,False,1,False,13,undefined4 FUN_1008ad64(void)
PPC,PPC_0003,FUN_1008bec8,0x1008bec8,8,False,1,False,13,undefined4 FUN_1008bec8(void)
PPC,PPC_0003,FUN_1008dd68,0x1008dd68,8,False,1,False,13,undefined4 FUN_1008dd68(void)
PPC,PPC_0003,FUN_10090144,0x10090144,8,False,1,False,13,undefined4 FUN_10090144(void)
PPC,PPC_0003,FUN_1009049c,0x1009049c,8,False,1,False,13,undefined4 FUN_1009049c(void)
PPC,PPC_0003,FUN_100908c0,0x100908c0,8,False,1,False,13,undefined4 FUN_100908c0(void)
PPC,PPC_0003,FUN_10090b18,0x10090b18,8,False,1,False,13,undefined4 FUN_10090b18(void)
PPC,PPC_0003,FUN_10093b00,0x10093b00,8,False,1,False,13,undefined4 FUN_10093b00(void)
PPC,PPC_0003,FUN_10093f1c,0x10093f1c,8,False,1,False,13,undefined4 FUN_10093f1c(void)
PPC,PPC_0004,FUN_10096188,0x10096188,8,False,1,False,13,undefined4 FUN_10096188(void)
PPC,PPC_0004,FUN_100965d4,0x100965d4,8,False,1,False,13,undefined4 FUN_100965d4(void)
PPC,PPC_0004,FUN_10097db0,0x10097db0,8,False,1,False,13,undefined4 FUN_10097db0(void)
PPC,PPC_0004,FUN_1009d3fc,0x1009d3fc,8,False,1,False,13,undefined4 FUN_1009d3fc(void)
PPC,PPC_0004,FUN_1009e680,0x1009e680,8,False,1,False,13,undefined4 FUN_1009e680(void)
